Mag Field (Gauss),87 Min Frequency,87 Max Frequency,87 Mid Frequency,Current (A),Theoretical Frequency R^87
3.98E+00,2.059,2.061,2.06,0.9,1.85E+06
3.53E+00,1.866,1.867,1.868,0.8,1.65E+06
3.09E+00,1.656,1.658,1.657,0.7,1.44E+06
2.65E+00,1.453,1.455,1.454,0.6,1.24E+06
2.21E+00,1.2365,1.238,1.237,0.5,1.03E+06
1.77E+00,1.036,1.038,1.037,0.4,8.24E+05
1.33E+00,0.826,0.828,0.827,0.3,6.18E+05
1.10E+00,0.733,0.735,0.734,0.25,5.15E+05
8.84E-01,0.629,0.631,0.63,0.2,4.12E+05
6.63E-01,0.521,0.523,0.522,0.15,3.09E+05
0.00E+00,0.195,0.199,0.197,0,0.00E+00
4.42E+00,2.274,2.276,2.275,1,2.06E+06
5.52E+00,2.781,2.785,2.784,1.25,2.58E+06
6.63E+00,3.283,3.304,3.289,1.5,3.09E+06
-3.98E+00,1.711,1.713,1.712,0.9,1.85E+06
-3.53E+00,1.495,1.498,1.497,0.8,1.65E+06
-3.09E+00,1.291,1.294,1.292,0.7,1.44E+06
-2.65E+00,1.097,1.1,1.098,0.6,1.24E+06
-2.21E+00,0.876,0.88,0.878,0.5,1.03E+06
-1.77E+00,0.688,0.685,0.687,0.4,8.24E+05
-1.33E+00,0.479,0.482,0.48,0.3,6.18E+05
-1.10E+00,0.343,0.347,0.345,0.25,5.15E+05
-8.84E-01,0.237,0.241,0.239,0.2,4.12E+05
-6.63E-01,0.139,0.143,0.141,0.15,3.09E+05
-4.42E+00,1.884,1.887,1.885,1,2.06E+06
-5.52E+00,2.417,2.427,2.424,1.25,2.58E+06
-6.63E+00,2.91,2.932,2.92,1.5,3.09E+06
